"","test_stat","tt_pval","mw_stat","mw_pval","x.obs","y.obs","XY_norm_test","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.744.002324",1.3200022714383,0.22544237296171,21,0.0952380952380952,15,15,0.280071603364296,1.26930155958922,1.30044897281748
"mmu.miR.7b.002555",1.51304712637601,0.196412959501985,19,0.222222222222222,14,15,0.00298796890593151,1.92013229219845,1.71714605870161
"mmu.miR.872.002264",2.86558631689273,0.0351348679804061,23,0.0317460317460317,15,15,0.0574802765859807,6.69699915256823,337.404667492407
"mmu.miR.92a.000430",-0.839347004117887,0.433493239885595,10,0.69047619047619,15,15,0.0161296624923315,0.928052108959002,0.93447725791677
"mmu.miR.93.001090",-1.98805528523651,0.0934089422931026,5,0.150793650793651,15,15,0.429524310937508,0.792505737206269,0.776460407836813
"mmu.miR.99a.000435",0.840259369047717,0.4252284428215,16,0.547619047619048,10,13,0.33210938563628,1.31320722443064,1.33747909599638
"mmu.miR.99b.000436",-1.52970497073239,0.16472683667258,6,0.222222222222222,14,14,0.423527323002688,0.779682779253239,0.774404065711132
"rno.miR.190b.002048",2.91785433280035,0.0375409937203579,25,0.00793650793650794,15,15,0.039390522473809,2.7173763695461,2.59824647610466
"rno.miR.196c.002049",0.176249202078596,0.864559425470102,11,0.841269841269841,15,15,0.842538913708895,1.02011622127289,1.01920808420313
"rno.miR.224.000599",-0.735508739972386,0.483454632901787,10,0.69047619047619,15,14,0.735015354277436,0.825823016847158,0.824555990076117
"rno.miR.345.3p.002061",1.37951254826888,0.208657629251562,17,0.420634920634921,12,13,0.612859828487575,1.31503249488777,1.39009856134843
"snoRNA135.001230",0.903641843689067,0.39600621951247,16,0.547619047619048,15,15,0.342909151310306,1.19352681663518,1.17221645299696
"snoRNA202.001232",0.484573432436207,0.641474277600091,14,0.841269841269841,15,15,0.912863007753866,1.08595454131147,1.08519393702165
